County	Fidesz-KDNP (PfE)	Tisza (EPP)	Mi Hazánk (ESN)	DK (S&D)	MKKP (→Greens/EFA)	Other	Winner
Budapest	0%	0%	0%	0%	0%	0%
Baranya	0%	0%	0%	0%	0%	0%
Bács-Kiskun	0%	0%	0%	0%	0%	0%
Békés	0%	0%	0%	0%	0%	0%
Borsod-Abaúj-Zemplén	0%	0%	0%	0%	0%	0%
Csongrád-Csanád	0%	0%	0%	0%	0%	0%
Fejér	0%	0%	0%	0%	0%	0%
Győr-Moson-Sopron	0%	0%	0%	0%	0%	0%
Hajdú-Bihar	0%	0%	0%	0%	0%	0%
Heves	0%	0%	0%	0%	0%	0%
Jász-Nagykun-Szolnok	0%	0%	0%	0%	0%	0%
Komárom-Esztergom	0%	0%	0%	0%	0%	0%
Nógrád	0%	0%	0%	0%	0%	0%
Pest	0%	0%	0%	0%	0%	0%
Somogy	0%	0%	0%	0%	0%	0%
Szabolcs-Szatmár-Bereg	0%	0%	0%	0%	0%	0%
Tolna	0%	0%	0%	0%	0%	0%
Vas	0%	0%	0%	0%	0%	0%
Veszprém	0%	0%	0%	0%	0%	0%
Zala	0%	0%	0%	0%	0%	0%
